NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE7852_TREG_VS_TCONV_THYMUS_DN	GSE7852_TREG_VS_TCONV_THYMUS_DN	Details ...	67	-0.61201537	-3.281434	0.0	0.0	0.0	782	tags=72%, list=25%, signal=93%	
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	Details ...	52	-0.36772063	-1.8668389	0.003125	0.004533105	0.008	1048	tags=63%, list=33%, signal=93%	
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	Details ...	53	-0.31352675	-1.6139287	0.025641026	0.026249269	0.067	1112	tags=62%, list=35%, signal=94%	
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	Details ...	49	-0.30368632	-1.5201131	0.043343652	0.045833923	0.142	749	tags=41%, list=24%, signal=53%	
GSE22045_TREG_VS_TCONV_DN	GSE22045_TREG_VS_TCONV_DN	Details ...	34	-0.28949958	-1.294159	0.13554217	0.14188153	0.438	148	tags=15%, list=5%, signal=15%	
GSE13306_TREG_RA_VS_TCONV_RA_DN	GSE13306_TREG_RA_VS_TCONV_RA_DN	Details ...	27	-0.15275206	-0.6564562	0.8993902	0.93200743	0.997	530	tags=22%, list=17%, signal=26%	
