NAME	TITLE	SCORE	
IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	1.8609217	
HMGB1	high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983]	1.846898	
ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	1.8462272	
MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	1.8213367	
OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	1.7962296	
TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	1.7844676	
PRC1	protein regulator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:9341]	1.7740949	
RUNX2	RUNX family transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10472]	1.7699213	
ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	1.7679521	
ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	1.7665697	
RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	1.7621408	
ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	1.754522	
IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	1.7493267	
CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	1.7460327	
RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	1.7404387	
ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	1.7389458	
NRGN	neurogranin [Source:HGNC Symbol;Acc:HGNC:8000]	1.73533	
SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	1.732982	
STX11	syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]	1.7295473	
