p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Il18r1	0	2.41092715493608	0.742	0.127	0
Ctla4	0	2.51447819646787	0.981	0.29	0
Rgs2	0	1.9253819603222	0.853	0.139	0
Rabgap1l	0	2.77707713558254	0.991	0.662	0
Sell	0	-1.84830703624469	0.039	0.657	0
Camk1d	0	-1.34976592561605	0.921	0.982	0
Prkcq	0	-1.51183165459485	0.817	0.957	0
Arhgap15	0	-1.3865308215292	0.989	0.999	0
Nr4a2	0	2.54146636633226	0.776	0.028	0
Pag1	0	-1.84239861937966	0.191	0.734	0
S100a4	0	2.74872875476227	0.691	0.023	0
S100a11	0	1.71810989637774	0.864	0.188	0
S100a10	0	1.79756676604437	0.97	0.545	0
Slc22a15	0	1.89571762532467	0.759	0.023	0
Ptpn22	0	1.69653331913013	0.967	0.577	0
Lef1	0	-2.05500264732136	0.708	0.97	0
Nfkb1	0	1.7677002315238	0.971	0.651	0
St6galnac3	0	2.68608904399773	0.878	0.193	0
Nr4a3	0	2.51630119050286	0.847	0.069	0
Fosl2	0	1.41496555276166	0.685	0.045	0
Rbpj	0	2.17333818866655	0.878	0.216	0
Igfbp7	0	2.33985053585094	0.669	0.026	0
Kdm2b	0	2.14422560556971	0.932	0.249	0
Rilpl2	0	1.48838978504957	0.715	0.065	0
Cdk8	0	-1.68078380578175	0.806	0.95	0
Gimap6	0	-1.82603452504019	0.727	0.969	0
Osbpl3	0	1.6576098898254	0.673	0.033	0
Capg	0	1.59561019840261	0.8	0.128	0
Foxp1	0	-2.52259754046028	0.732	0.989	0
Bhlhe40	0	2.46228714595876	0.876	0.038	0
Lag3	0	1.65855020818258	0.749	0.028	0
Ptms	0	1.69178571796746	0.884	0.16	0
Ybx3	0	1.45417568736131	0.711	0.053	0
Rpl13a	0	-0.836059052456375	0.998	1	0
Uba52	0	1.35057478297463	0.94	0.357	0
Junb	0	1.84086941757814	0.99	0.663	0
Maf	0	2.56197365627298	0.863	0.051	0
Ubash3b	0	2.45704036154389	0.962	0.243	0
Dennd4a	0	2.08623439415494	0.865	0.239	0
Rora	0	2.65342760179017	0.86	0.112	0
Nt5e	0	2.58241113034314	0.843	0.043	0
Bcl2a1d	0	1.50211386232672	0.644	0.024	0
Stx11	0	2.00890534335694	0.71	0.033	0
Phactr2	0	2.16778949931105	0.737	0.038	0
Scml4	0	-2.07129136043755	0.269	0.844	0
Srgn	0	1.69776172643193	0.981	0.572	0
Eea1	0	2.10687139300915	0.852	0.165	0
Gm15283	0	1.62047547766153	0.838	0.205	0
Hif1a	0	2.21241104842909	0.945	0.328	0
Gdi2	0	1.605584783828	0.957	0.506	0
Ripor2	0	-1.54916478839355	0.791	0.965	0
Atxn1	0	2.01901110573521	0.867	0.229	0
Tnfsf11	0	2.15980603414013	0.703	0.052	0
Tbc1d4	0	1.9060591086505	0.775	0.14	0
Trps1	0	2.42454648468874	0.903	0.186	0
Gm2682	0	-2.81599618403561	0.384	0.968	0
Sla	0	1.45904165923994	0.922	0.34	0
Il2rb	0	1.67504936613204	0.861	0.124	0
Lgals1	0	2.13386275789331	0.911	0.262	0
Grap2	0	-1.47131230465414	0.71	0.966	0
Prr13	0	1.42209673843073	0.835	0.124	0
Arhgap31	0	2.08448920791208	0.885	0.305	0
Cblb	0	1.94447471257393	0.97	0.655	0
Cmss1	0	-2.02832338355522	0.986	0.998	0
Gm42418	0	-2.0026993150892	1	1	0
AY036118	0	-2.49211681908988	0.967	0.997	0
Ccnd3	0	-1.46193016460775	0.903	0.985	0
Satb1	0	-1.94799373695978	0.57	0.973	0
Crem	0	1.84689885598956	0.812	0.136	0
Ndfip1	0	1.71331256071541	0.989	0.681	0
Ahnak	0	2.19599660177047	0.854	0.042	0
Ms4a4b	0	-2.20869881507907	0.354	0.947	0
Dusp4	5.91035936986348e-308	1.22207224057424	0.671	0.04	1.90815952256042e-303
Litaf	1.23391463309248e-307	1.53153472455292	0.638	0.023	3.98369339293908e-303
Icos	5.73903683225792e-305	1.65703298710773	0.848	0.213	1.85284804129447e-300
Ell2	2.3400619481422e-304	1.81080102728248	0.634	0.026	7.55488999957711e-300
Gna13	1.42207264272596e-303	1.40284244455006	0.924	0.39	4.59116152704078e-299
Ablim1	1.60009190750348e-303	-1.28706712545765	0.843	0.979	5.16589672337498e-299
