p_val	avg_log2FC	pct.1	pct.2	p_val_adj
0	0.571950772485328	0.174	0.003	0
0	1.51576977996038	0.44	0.031	0
0	1.5152086805988	0.808	0.36	0
0	2.3168973799589	0.998	0.858	0
0	-2.84749029080843	0.47	0.939	0
0	1.95764406719988	0.788	0.163	0
0	2.69739083003181	0.787	0.059	0
0	2.13981937461317	0.543	0.04	0
0	1.08161582152446	0.786	0.332	0
0	1.30724778540874	0.878	0.376	0
0	1.3984552378075	0.692	0.146	0
0	1.22542874037816	0.846	0.424	0
0	0.687508791771322	0.37	0.048	0
0	1.28899014138531	0.997	0.91	0
0	-0.829642743740475	0.998	0.997	0
0	1.13702393016493	0.52	0.046	0
0	1.45152973001186	0.533	0.059	0
0	2.14875231044299	0.914	0.491	0
0	1.19285318851416	0.614	0.151	0
0	1.4684067345419	0.832	0.345	0
0	1.20920532120304	0.533	0.008	0
0	1.10135397970658	0.579	0.165	0
0	1.29810803693627	0.423	0.046	0
0	-1.65136806451494	0.603	0.887	0
0	1.50046607944435	0.991	0.755	0
0	0.55752364499818	0.353	0.048	0
0	1.68165313788239	0.926	0.452	0
0	1.14333505072345	0.5	0.072	0
0	1.42804870950189	0.852	0.414	0
0	0.837317686465609	0.337	0.018	0
0	0.584104001123198	0.254	0.017	0
0	1.05553437550786	0.924	0.499	0
0	1.28021488005693	0.602	0.027	0
0	2.23510743824117	0.907	0.288	0
0	1.09644298637928	0.384	0.013	0
0	1.80881047521804	0.931	0.44	0
0	1.74013577258977	0.845	0.257	0
0	-1.72427513936248	0.754	0.965	0
0	1.24706717836842	0.565	0.067	0
0	1.46948834285071	0.574	0.085	0
0	1.2792355648058	0.76	0.286	0
0	1.24883368351466	0.816	0.307	0
0	1.28622614787368	0.555	0.074	0
0	1.17239254523878	0.471	0.049	0
0	1.75698727530587	0.897	0.302	0
0	2.89402775536177	0.94	0.069	0
0	1.93251327347447	0.928	0.394	0
0	1.83261602732728	0.714	0.057	0
0	-0.900891095860366	0.996	0.996	0
0	2.56606635777288	0.426	0.015	0
0	1.02054634988569	0.995	0.937	0
0	2.96989831894648	0.76	0.056	0
0	1.22208492892028	0.611	0.144	0
0	1.16599718665338	0.966	0.724	0
0	0.57292986071811	0.364	0.049	0
0	0.723982181286743	0.337	0.046	0
0	1.1719465416263	0.718	0.179	0
0	1.11474238851514	0.678	0.116	0
0	0.722187852516494	0.374	0.035	0
0	2.02000391093452	0.983	0.743	0
0	1.61079199577098	0.981	0.665	0
0	1.26492132211802	0.83	0.308	0
0	0.504837453957694	0.257	0.014	0
0	1.82263308509256	0.983	0.647	0
0	1.03622931010821	0.997	0.924	0
0	2.1486020617665	0.948	0.388	0
0	0.772668015189224	0.539	0.118	0
0	1.21717637520663	0.491	0.056	0
0	1.26810085195532	0.604	0.14	0
0	1.38347971707279	0.972	0.648	0
0	1.18047850858069	0.996	0.932	0
0	0.917808179845392	0.359	0.041	0
0	1.44352460867816	0.628	0.042	0
0	1.77602695097617	0.903	0.518	0
0	0.994347300313746	0.573	0.128	0
0	1.32617770860047	0.494	0.008	0
0	-0.732321790498763	0.999	0.997	0
0	1.70619834514879	0.958	0.593	0
0	0.394820612710263	0.207	0.003	0
0	0.345620562286371	0.204	0.006	0
0	3.44625198090794	0.598	0.133	0
0	1.33600459948802	0.244	0.001	0
0	2.36836462416035	0.375	0.003	0
0	1.51849106550733	0.687	0.112	0
0	1.19987948528412	0.755	0.289	0
0	0.512983348215661	0.281	0.025	0
0	1.12751903759744	0.467	0.025	0
0	1.23431430730364	0.781	0.314	0
0	1.12752768122925	0.91	0.539	0
0	0.902664873879922	0.657	0.201	0
0	1.11364258774326	0.557	0.142	0
0	1.45985870443155	0.912	0.359	0
0	0.581572530770962	0.318	0.021	0
0	1.60001291586045	0.812	0.37	0
0	1.1136567488133	0.474	0.071	0
0	1.01200838493618	0.829	0.394	0
0	0.787760493631344	0.525	0.108	0
0	1.02464103601594	0.62	0.112	0
0	1.49381642698157	0.599	0.087	0
0	1.54317549492323	0.79	0.175	0
0	1.55146275070095	0.73	0.13	0
0	1.33516245325335	0.898	0.471	0
0	0.874096237830843	0.457	0.041	0
0	1.76201069134637	0.687	0.119	0
0	1.25820199490794	0.573	0.117	0
0	1.25550389233036	0.467	0.027	0
0	1.59097772821144	0.714	0.209	0
0	-2.18502404271773	0.311	0.835	0
0	1.248328866194	0.949	0.574	0
0	1.23810274448166	0.446	0.007	0
0	1.53045285359137	0.736	0.097	0
