cluster	p_val	avg_log2FC	gene
0	0	2.70278253940318	Nrgn
0	0	2.49939546132453	Emb
0	0	2.30139728348325	Il17a
0	0	2.26357033746995	St6galnac3
0	0	2.1302667922599	Nr4a3
0	0	2.12470182301413	Igfbp7
0	0	2.02339748904887	Il18r1
0	0	2.0149733102012	Bhlhe40
0	0	1.95212109805878	Trps1
0	0	1.94915033137182	Furin
1	0	1.36778260745948	Ikzf2
1	0	1.36346510160575	Tnfrsf4
1	0	1.11932599185522	Ighm
1	0	1.04942494692699	Itgae
1	0	0.961423983638733	Tnfrsf18
1	0	0.918812525023021	Izumo1r
1	0	0.826917312150614	Cmss1
1	0	0.775616073925498	AY036118
1	0	0.664374244884694	Cdk8
1	0	0.658507735492183	Gm42418
2	0	2.02817437329191	Gm2682
2	0	1.95661649695531	Foxp1
2	0	1.92450710859024	Bcl2
2	0	1.56194817969633	Ms4a4b
2	0	1.49218652569471	Fgf13
2	0	1.44098045353869	Prkcq
2	0	1.38877039775445	Sidt1
2	0	1.34975519595039	Bach2
2	0	1.34884808848664	Ift80
2	0	1.30403329229861	Evl
3	0	1.85895992797175	S100a6
3	0	1.46404340829792	Crip1
3	0	1.22364463410277	Klrg1
3	0	1.18409186974399	S100a4
3	0	1.12670660280938	S100a10
3	0	1.07921652117107	Il1rl1
3	0	1.0791635055725	Ccr2
3	0	1.07443760507901	Ikzf2
3	0	0.981143630925562	Itgae
3	0	0.969372751993344	Atp1b3
4	0	3.16520167087987	Ccl5
4	0	2.16879614909043	Nkg7
4	0	2.14444190330788	Lag3
4	0	2.10994278241421	Ccl4
4	0	2.08996627979015	Il10
4	0	1.8192336556182	Ctla4
4	0	1.7594036198397	Tmem163
4	0	1.57716569243453	Snx9
4	0	1.55877166644585	Mxi1
4	0	1.53482118706241	Itgav
5	0	2.15664483038936	Stmn1
5	0	2.00175997130418	Top2a
5	0	1.89953092444906	Pclaf
5	0	1.8889119003587	Mki67
5	0	1.81284907589004	Hmgb2
5	0	1.80866530733754	Tubb5
5	0	1.76787008241702	Ube2c
5	0	1.6344800869143	Tuba1b
5	0	1.61424145527286	Birc5
5	0	1.60703416893166	Diaph3
6	0	1.76681870335281	Stmn1
6	0	1.70820138527276	Mki67
6	0	1.57454024384016	Birc5
6	0	1.56718509061498	Pclaf
6	0	1.50099809447992	Cenpf
6	0	1.39916767451824	Ptma
6	0	1.34524547674391	Ccnb2
6	0	1.27313479210728	Cdca8
6	0	1.2281846618865	Cks1b
6	0	1.17006492444622	Smc2
7	0	4.36563348573386	Hist1h1b
7	0	3.76440687449782	Hist1h2ap
7	0	3.70666810474808	Hist1h2ae
7	0	3.58896965399103	Hist1h4d
7	0	3.3323095242728	Hist1h1e
7	0	3.21191704116593	Hist1h2ab
7	0	3.08874369226139	Hist2h2ac
7	0	2.99631703486367	Top2a
7	0	2.82637739878926	Mki67
7	0	2.82326685993051	Hist1h3e
8	0	2.57804836314986	Isg15
8	0	2.56903430496857	Ifit3
8	0	2.53488437677702	Ifit1
8	0	2.32368911322091	A330040F15Rik
8	0	2.31172368200194	Rnf213
8	0	2.09759378143997	Usp18
8	0	2.09107289340909	Ddx60
8	0	1.9290343173664	Ifi208
8	0	1.74915807880534	Ifit1bl1
8	0	1.73094397588415	Rsad2
9	0	4.69230406581404	H2-Aa
9	0	4.64492532979025	H2-Ab1
9	0	3.75300582980137	Il1b
9	0	3.47337650870686	Tyrobp
9	0	3.22093924897867	Fcer1g
9	0	2.79305796069487	Lrmda
9	0	2.62925943173235	C1qc
9	0	2.61805357319483	Tgfbi
9	0	2.49109036130307	Slc8a1
9	0	2.37415253518513	Fn1
