p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	2.51897051229177	0.37	0.001	0	Il17a
0	1.22832250745734	0.623	0.131	0	Neurl3
0	0.399249210979988	0.435	0.144	0	Arid5a
0	0.807429800925701	0.805	0.4	0	Zap70
0	1.13327381175459	0.374	0.03	0	Il1r1
0	2.08372909413789	0.772	0.287	0	Il18r1
0	0.390035136358064	0.264	0.034	0	Fhl2
0	0.465633081851863	0.385	0.093	0	Mfsd6
0	0.86669687903763	0.754	0.291	0	Coq10b
0	-1.1541078725921	0.186	0.471	0	Plcl1
0	1.37234916387494	0.81	0.357	0	Fam117b
0	0.732044676891832	0.899	0.595	0	Cd28
0	1.51131880914295	0.988	0.857	0	Ctla4
0	0.362219385168452	0.34	0.093	0	Plekhm3
0	-0.859556872902246	0.032	0.347	0	Gm29114
0	-3.34394025130744	0.345	0.942	0	Ikzf2
0	0.344948359406409	0.372	0.094	0	Wdfy1
0	-0.884976292402635	0.825	0.888	0	Sp100
0	2.13616751761344	0.805	0.159	0	Ramp1
0	0.53191989484348	0.668	0.31	0	Hdac4
0	1.11115944634728	0.553	0.087	0	Pdcd1
0	2.1319519215774	0.664	0.056	0	Tmem163
0	0.498398960122088	0.345	0.067	0	Cxcr4
0	0.665274930907516	0.711	0.329	0	Mapkapk2
0	1.01021623990122	0.796	0.373	0	Atp2b4
0	1.02865545066603	0.924	0.606	0	Btg2
0	-0.743986790175471	0.984	0.993	0	Ptprc
0	1.86088610319605	0.816	0.143	0	Rgs2
0	1.16172357562273	0.761	0.424	0	Rgs1
0	0.729369220231311	0.389	0.047	0	Rgs16
0	1.46540976001529	0.993	0.909	0	Rabgap1l
0	0.832598833624767	0.814	0.455	0	Gm36975
0	0.439045700439379	0.379	0.069	0	Gm37529
0	0.907176957226046	0.827	0.39	0	Prdx6
0	0.387099857719992	0.243	0.011	0	Fasl
0	-1.58541613293408	0.073	0.618	0	Sell
0	-1.08467537449768	0.505	0.743	0	Rcsd1
0	-1.07853732096997	0.188	0.503	0	Ifi206
0	-0.842901287335489	0.102	0.364	0	Ifi213
0	-1.13085887869211	0.257	0.628	0	Ifi209
0	0.658213280868756	0.838	0.535	0	Akt3
0	0.411975897933078	0.453	0.159	0	Lpgat1
0	0.394788799676283	0.269	0.025	0	Optn
0	-0.847150089877526	0.927	0.969	0	Camk1d
0	-1.02772068872813	0.766	0.835	0	Prkcq
0	-0.868373025923325	0.481	0.803	0	Il2ra
0	0.779888061366977	0.255	0.014	0	Plxdc2
0	0.688716546073898	0.839	0.511	0	Pip4k2a
0	-0.88574753415217	0.683	0.807	0	Apbb1ip
0	0.528518625894396	0.242	0.012	0	Ier5l
0	0.78197470890358	0.969	0.842	0	Fnbp1
0	-0.459447041431023	0.998	0.997	0	Rpl12
0	0.709918892764861	0.407	0.045	0	Angptl2
0	0.791963054363228	0.284	0.009	0	Zeb2
0	2.01895588858021	0.683	0.057	0	Nr4a2
0	0.54795459644295	0.954	0.848	0	Cytip
0	1.02227444286164	0.776	0.266	0	Stk39
0	0.487847612988238	0.29	0.003	0	Sestd1
0	0.765356295450063	0.875	0.454	0	Itga4
0	1.5894360374197	0.852	0.488	0	Itgav
0	0.784347187226615	0.497	0.149	0	Gm13684
0	0.892861583565767	0.689	0.343	0	Ptprj
0	0.350855586073478	0.187	0.006	0	Prr5l
0	-1.06010451642975	0.333	0.574	0	Aven
0	0.3557238822387	0.314	0.066	0	Spred1
0	-0.90190821908502	0.518	0.714	0	Rasgrp1
0	0.865635413553484	0.696	0.249	0	Chp1
0	1.09517488096957	0.502	0.006	0	AA467197
0	0.52762399607046	0.387	0.126	0	Shld1
0	-1.15616463758001	0.404	0.652	0	Tasp1
0	-1.36964189937889	0.713	0.926	0	Samhd1
0	0.975003843974603	0.905	0.573	0	Ppp1r16b
