NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE7852_TREG_VS_TCONV_THYMUS_DN	GSE7852_TREG_VS_TCONV_THYMUS_DN	Details ...	57	-0.6206542	-3.3364587	0.0	0.0	0.0	445	tags=65%, list=20%, signal=79%	
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	Details ...	37	-0.32300472	-1.5449321	0.025925925	0.06744599	0.14	808	tags=68%, list=36%, signal=103%	
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	Details ...	39	-0.28258708	-1.3327239	0.12015504	0.14856316	0.401	482	tags=38%, list=21%, signal=48%	
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	Details ...	47	-0.19301555	-0.98791623	0.45188284	0.48175675	0.909	628	tags=45%, list=28%, signal=61%	
