NAME	TITLE	SCORE	
NRGN	neurogranin [Source:HGNC Symbol;Acc:HGNC:8000]	3.1590035	
RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	2.7770772	
S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	2.7487288	
ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]	2.686089	
RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	2.6534276	
LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	2.5859325	
NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	2.582411	
MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	2.5619736	
NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	2.5414665	
NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	2.5163012	
CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	2.5144782	
BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	2.4622872	
UBASH3B	ubiquitin associated and SH3 domain containing B [Source:HGNC Symbol;Acc:HGNC:29884]	2.4570403	
TRPS1	transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]	2.4245465	
IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	2.410927	
IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	2.3398504	
HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	2.2124112	
AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	2.1959965	
RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	2.1733382	
PHACTR2	phosphatase and actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:20956]	2.1677895	
TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	2.159806	
KDM2B	lysine demethylase 2B [Source:HGNC Symbol;Acc:HGNC:13610]	2.1442256	
LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	2.1338627	
EEA1	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]	2.1068714	
DENND4A	DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]	2.0862343	
ARHGAP31	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]	2.084489	
ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	2.019011	
STX11	syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]	2.0089054	
CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	1.9444747	
RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	1.925382	
TBC1D4	TBC1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:19165]	1.9060591	
SLC22A15	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]	1.8957176	
LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	1.8921094	
ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	1.8499206	
CREM	cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]	1.8468989	
JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1.8408694	
ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	1.810801	
S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	1.7975668	
FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	1.7892544	
GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	1.774311	
NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	1.7677002	
S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	1.7181098	
NDFIP1	Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]	1.7133125	
IL17A	interleukin 17A [Source:HGNC Symbol;Acc:HGNC:5981]	1.7123152	
ECE1	endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]	1.7110941	
CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	1.7040949	
CCR6	C-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:1607]	1.6999322	
SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	1.6977618	
PTPN22	protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]	1.6965333	
PTMS	parathymosin [Source:HGNC Symbol;Acc:HGNC:9629]	1.6917857	
RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	1.6891831	
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	1.685018	
IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	1.6750494	
LAG3	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]	1.6585503	
OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	1.6576099	
