NAME	TITLE	SCORE	
CREM	cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]	1.929747	
GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	1.9220139	
CYSLTR2	cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274]	1.9119302	
CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	1.8955762	
SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]	1.8706483	
IFI27L2	interferon alpha inducible protein 27 like 2 [Source:HGNC Symbol;Acc:HGNC:19753]	1.8642025	
ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	1.85962	
OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	1.8422942	
LTB4R	leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713]	1.8362378	
JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1.8339422	
TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	1.8307047	
ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	1.8143649	
FOXP3	forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106]	1.8074678	
RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	1.7996862	
AOPEP	aminopeptidase O (putative) [Source:HGNC Symbol;Acc:HGNC:1361]	1.7980095	
LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	1.7964686	
PHLPP1	PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]	1.7741393	
DUSP16	dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]	1.7585047	
RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	1.7571447	
IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	1.7424046	
ARL5A	ADP ribosylation factor like GTPase 5A [Source:HGNC Symbol;Acc:HGNC:696]	1.7327958	
SDF4	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]	1.7091941	
NDFIP1	Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]	1.7016053	
ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	1.6404794	
SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	1.6338785	
RILPL2	Rab interacting lysosomal protein like 2 [Source:HGNC Symbol;Acc:HGNC:28787]	1.628722	
S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	1.6269207	
HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	1.6163812	
C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]	1.6137851	
IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	1.5861149	
SMIM36	small integral membrane protein 36 [Source:HGNC Symbol;Acc:HGNC:53654]	1.5824066	
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	1.5698777	
MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	1.5676978	
CCR5	C-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1606]	1.5676609	
MMD	monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:HGNC:7153]	1.5640213	
FXYD5	FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029]	1.5595354	
CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	1.5586185	
IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	1.5544133	
SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	1.5452888	
PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	1.5423218	
IZUMO1R	IZUMO1 receptor, JUNO [Source:HGNC Symbol;Acc:HGNC:32565]	1.5372201	
RAB8B	RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]	1.5343086	
NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	1.5304494	
RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:14436]	1.5169399	
TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	1.5094076	
STX11	syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]	1.4948263	
IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	1.4924695	
PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	1.4889555	
MDFIC	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	1.4850228	
PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	1.480674	
CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	1.4798963	
GM2A	ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]	1.4783231	
MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	1.472947	
TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	1.4661864	
FAM117B	family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440]	1.4567903	
DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	1.4512696	
TRPS1	transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]	1.4406677	
FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	1.4283417	
CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	1.422514	
LCLAT1	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]	1.4148084	
DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	1.4010127	
RAB43	RAB43, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:19983]	1.4001855	
LRBA	LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]	1.3957014	
MALT1	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]	1.3956182	
GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	1.3953738	
UHRF2	ubiquitin like with PHD and ring finger domains 2 [Source:HGNC Symbol;Acc:HGNC:12557]	1.3918605	
MAPKAPK3	MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888]	1.3836344	
UBL3	ubiquitin like 3 [Source:HGNC Symbol;Acc:HGNC:12504]	1.3763341	
CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	1.3750879	
CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	1.3711839	
GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	1.3631343	
BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1.3555462	
LMNB1	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	1.355276	
SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	1.3469223	
CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	1.3410805	
VPS54	VPS54 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:18652]	1.3401426	
FAM20A	FAM20A golgi associated secretory pathway pseudokinase [Source:HGNC Symbol;Acc:HGNC:23015]	1.3324534	
RBM3	RNA binding motif protein 3 [Source:HGNC Symbol;Acc:HGNC:9900]	1.3312796	
