NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE7852_TREG_VS_TCONV_THYMUS_DN	GSE7852_TREG_VS_TCONV_THYMUS_DN	Details ...	64	-0.559617	-2.9023201	0.0	0.0	0.0	687	tags=69%, list=25%, signal=90%	
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	Details ...	53	-0.304708	-1.5496035	0.022813689	0.047473446	0.108	888	tags=58%, list=33%, signal=85%	
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	Details ...	49	-0.2870855	-1.4225494	0.05485232	0.074671514	0.233	602	tags=43%, list=22%, signal=54%	
GSE22045_TREG_VS_TCONV_DN	GSE22045_TREG_VS_TCONV_DN	Details ...	33	-0.27637604	-1.2072747	0.19672132	0.18706672	0.578	91	tags=15%, list=3%, signal=15%	
