NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE7852_TREG_VS_TCONV_THYMUS_UP	GSE7852_TREG_VS_TCONV_THYMUS_UP	Details ...	92	0.679308	3.0855932	0.0	0.0	0.0	260	tags=50%, list=10%, signal=54%	
GSE7852_TREG_VS_TCONV_UP	GSE7852_TREG_VS_TCONV_UP	Details ...	80	0.5610197	2.53195	0.0	0.0	0.0	687	tags=61%, list=27%, signal=81%	
SAFFORD_T_LYMPHOCYTE_ANERGY	SAFFORD_T_LYMPHOCYTE_ANERGY	Details ...	31	0.5659078	2.1156445	0.0014265336	6.9696974E-4	0.002	379	tags=52%, list=15%, signal=60%	
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	Details ...	40	0.4756705	1.8489934	0.0013869626	0.008031219	0.034	830	tags=58%, list=33%, signal=84%	
GSE22045_TREG_VS_TCONV_UP	GSE22045_TREG_VS_TCONV_UP	Details ...	34	0.46936274	1.7848916	0.010043042	0.011595576	0.059	369	tags=29%, list=14%, signal=34%	
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	Details ...	47	0.4029661	1.6150849	0.025232404	0.04357047	0.238	742	tags=51%, list=29%, signal=71%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	Details ...	63	0.3658172	1.5672222	0.020887729	0.052694477	0.319	291	tags=27%, list=11%, signal=30%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	Details ...	61	0.3249191	1.3966007	0.06438896	0.12896098	0.659	271	tags=26%, list=11%, signal=29%	
GSE13306_TREG_VS_TCONV_UP	GSE13306_TREG_VS_TCONV_UP	Details ...	34	0.36576903	1.362197	0.110944524	0.14483501	0.752	205	tags=24%, list=8%, signal=25%	
GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	Details ...	32	0.3620367	1.3444881	0.13773315	0.14226949	0.785	868	tags=59%, list=34%, signal=89%	
GSE13306_TREG_RA_VS_TCONV_RA_UP	GSE13306_TREG_RA_VS_TCONV_RA_UP	Details ...	35	0.19459176	0.73413956	0.8362069	0.9036217	1.0	315	tags=14%, list=12%, signal=16%	
GSE13306_TREG_RA_VS_TCONV_RA_DN	GSE13306_TREG_RA_VS_TCONV_RA_DN	Details ...	25	0.2072126	0.7261972	0.8238719	0.8382895	1.0	611	tags=28%, list=24%, signal=36%	
