NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SAFFORD_T_LYMPHOCYTE_ANERGY	89	31		
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	200	63		
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	199	61		
GSE7852_TREG_VS_TCONV_THYMUS_UP	200	92		
GSE7852_TREG_VS_TCONV_THYMUS_DN	199	62		
GSE7852_TREG_VS_TCONV_UP	200	80		
GSE22045_TREG_VS_TCONV_UP	189	34		
GSE22045_TREG_VS_TCONV_DN	192	28		
GSE13306_TREG_VS_TCONV_UP	198	34		
GSE13306_TREG_RA_VS_TCONV_RA_DN	200	25		
GSE13306_TREG_RA_VS_TCONV_RA_UP	200	35		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	199	41		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	200	47		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	199	48		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	200	40		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	200	32		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	199	45		
