NAME	TITLE	SCORE	
TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	1.6977823	
CTSW	cathepsin W [Source:HGNC Symbol;Acc:HGNC:2546]	1.6963077	
PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	1.6750602	
IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	1.6724968	
FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	1.6548625	
IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	1.6532326	
LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	1.6270444	
ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	1.6188169	
HIP1	huntingtin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:4913]	1.6141821	
ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	1.613854	
GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	1.6122755	
RAB8B	RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]	1.6092879	
IRAK2	interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	1.5893711	
LAG3	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]	1.5871909	
PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	1.5767051	
OSTF1	osteoclast stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:8510]	1.570092	
LPXN	leupaxin [Source:HGNC Symbol;Acc:HGNC:14061]	1.5627043	
VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	1.5539697	
GNG2	G protein subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4404]	1.5494351	
TRGC1	T cell receptor gamma constant 1 [Source:HGNC Symbol;Acc:HGNC:12275]	1.5321379	
NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	1.5188221	
CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	1.5176164	
PTMS	parathymosin [Source:HGNC Symbol;Acc:HGNC:9629]	1.5120419	
PHACTR2	phosphatase and actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:20956]	1.5087625	
CPD	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]	1.4956739	
IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	1.4908192	
RAB43	RAB43, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:19983]	1.4888895	
